hotel,meal,arrival_date_year,total_revenue_per_year,profit_percentage
"City Hotel",BB,2018,1390400.48,5.09
"City Hotel",SC,2018,113710.56,0.42
"City Hotel",HB,2018,108823.87,0.4
"City Hotel",FB,2018,227.99,0
"City Hotel",BB,2019,5571551.71,20.39
"City Hotel",SC,2019,920095.59,3.37
"City Hotel",HB,2019,460930.3,1.69
"City Hotel",FB,2019,413.41,0
"City Hotel",BB,2020,4166351.4,15.25
"City Hotel",SC,2020,1073585.55,3.93
"City Hotel",HB,2020,460730.26,1.69
"City Hotel",FB,2020,109.95,0
"Resort Hotel",BB,2018,1767469.27,6.47
"Resort Hotel",HB,2018,903418.62,3.31
"Resort Hotel",FB,2018,87582.67,0.32
"Resort Hotel",Undefined,2018,17669.85,0.06
"Resort Hotel",SC,2018,4631.01,0.02
"Resort Hotel",BB,2019,3898249.64,14.27
"Resort Hotel",HB,2019,1668338.07,6.11
"Resort Hotel",FB,2019,133568.15,0.49
"Resort Hotel",Undefined,2019,113546.79,0.42
"Resort Hotel",SC,2019,7298.02,0.03
"Resort Hotel",BB,2020,2744966.74,10.05
"Resort Hotel",HB,2020,1523633.45,5.58
"Resort Hotel",Undefined,2020,108328.35,0.4
"Resort Hotel",FB,2020,66639.9,0.24
"Resort Hotel",SC,2020,10310.9,0.04
