country,no_of_cancellation,percentage
PRT,12227,46.0285
GBR,1997,7.5177
ESP,1878,7.0697
FRA,1753,6.5992
ITA,1099,4.1372
DEU,1055,3.9715
BRA,732,2.7556
IRL,674,2.5373
USA,459,1.7279
BEL,415,1.5623
CHN,392,1.4757
CHE,384,1.4456
NLD,350,1.3176
CN,226,0.8508
RUS,224,0.8432
AGO,195,0.7341
SWE,177,0.6663
AUT,170,0.6400
POL,164,0.6174
NOR,145,0.5459
ISR,133,0.5007
ROU,118,0.4442
MAR,104,0.3915
LUX,103,0.3877
TUR,97,0.3652
AUS,92,0.3463
DNK,91,0.3426
HUN,65,0.2447
FIN,64,0.2409
ARG,51,0.1920
KOR,44,0.1656
ARE,41,0.1543
NULL,40,0.1506
IND,34,0.1280
CZE,33,0.1242
GRC,33,0.1242
SAU,30,0.1129
ZAF,29,0.1092
JPN,25,0.0941
IRN,23,0.0866
COL,23,0.0866
HRV,23,0.0866
HKG,21,0.0791
DZA,21,0.0791
UKR,20,0.0753
PHL,19,0.0715
MOZ,18,0.0678
TUN,18,0.0678
EST,18,0.0678
NGA,17,0.0640
CHL,16,0.0602
THA,16,0.0602
GEO,14,0.0527
IDN,14,0.0527
TWN,13,0.0489
CPV,12,0.0452
SGP,12,0.0452
GIB,11,0.0414
QAT,10,0.0376
SVK,10,0.0376
EGY,10,0.0376
URY,9,0.0339
CYP,9,0.0339
SVN,9,0.0339
MEX,9,0.0339
BGR,9,0.0339
MDV,9,0.0339
MAC,9,0.0339
BLR,8,0.0301
JEY,8,0.0301
LVA,8,0.0301
VEN,8,0.0301
PAK,8,0.0301
AZE,8,0.0301
SEN,8,0.0301
LBN,7,0.0264
LTU,7,0.0264
BGD,7,0.0264
ECU,7,0.0264
KWT,6,0.0226
PER,6,0.0226
DOM,6,0.0226
AND,5,0.0188
KAZ,5,0.0188
MLT,5,0.0188
OMN,4,0.0151
NZL,4,0.0151
ISL,4,0.0151
BHR,4,0.0151
SRB,3,0.0113
BEN,3,0.0113
TZA,3,0.0113
JOR,3,0.0113
MYS,3,0.0113
BIH,3,0.0113
ALB,2,0.0075
GGY,2,0.0075
IMN,2,0.0075
ARM,2,0.0075
GAB,2,0.0075
MKD,2,0.0075
VNM,2,0.0075
GHA,2,0.0075
KEN,2,0.0075
UZB,2,0.0075
MNE,2,0.0075
MYT,2,0.0075
FRO,2,0.0075
CIV,2,0.0075
ZWE,2,0.0075
HND,1,0.0038
ZMB,1,0.0038
KHM,1,0.0038
MCO,1,0.0038
TJK,1,0.0038
NIC,1,0.0038
VGB,1,0.0038
MUS,1,0.0038
CRI,1,0.0038
TMP,1,0.0038
GLP,1,0.0038
PRI,1,0.0038
FJI,1,0.0038
SYC,1,0.0038
LIE,1,0.0038
GNB,1,0.0038
ETH,1,0.0038
UMI,1,0.0038
