hotel,market_segment,arrival_date_year,total_revenue_per_year,profit_percentage
"City Hotel",Groups,2018,982550.15,2.76
"City Hotel","Offline TA/TO",2018,855498.03,2.4
"City Hotel","Online TA",2018,817242.05,2.3
"City Hotel",Direct,2018,252876.3,0.71
"City Hotel",Corporate,2018,92392.13,0.26
"City Hotel",Complementary,2018,3147.19,0.01
"City Hotel","Online TA",2019,4977626.34,13.98
"City Hotel","Offline TA/TO",2019,2679171.41,7.53
"City Hotel",Groups,2019,1531659.69,4.3
"City Hotel",Direct,2019,784554.78,2.2
"City Hotel",Corporate,2019,283919.06,0.8
"City Hotel",Aviation,2019,45338.01,0.13
"City Hotel",Complementary,2019,6924.31,0.02
"City Hotel","Online TA",2020,4322836.36,12.14
"City Hotel",Groups,2020,1190772.76,3.34
"City Hotel","Offline TA/TO",2020,1187560.22,3.34
"City Hotel",Direct,2020,819014.96,2.3
"City Hotel",Corporate,2020,129911.18,0.36
"City Hotel",Aviation,2020,34519.43,0.1
"City Hotel",Complementary,2020,2451.35,0.01
hotel,Groups,2019,179.98,0
"Resort Hotel","Online TA",2018,1110453.97,3.12
"Resort Hotel","Offline TA/TO",2018,1005166.92,2.82
"Resort Hotel",Direct,2018,650716.97,1.83
"Resort Hotel",Groups,2018,274108.1,0.77
"Resort Hotel",Corporate,2018,104389.71,0.29
"Resort Hotel",Complementary,2018,2180.45,0.01
"Resort Hotel","Online TA",2019,2583560.62,7.26
"Resort Hotel","Offline TA/TO",2019,1834665.88,5.15
"Resort Hotel",Direct,2019,1207563.52,3.39
"Resort Hotel",Groups,2019,916366.53,2.57
"Resort Hotel",Corporate,2019,83811.92,0.24
"Resort Hotel",Complementary,2019,2910.42,0.01
"Resort Hotel","Online TA",2020,2161217.92,6.07
"Resort Hotel","Offline TA/TO",2020,1084609.19,3.05
"Resort Hotel",Direct,2020,1014870.03,2.85
"Resort Hotel",Groups,2020,475546.54,1.34
"Resort Hotel",Corporate,2020,84580.89,0.24
"Resort Hotel",Complementary,2020,3146.69,0.01
