booked_days,total_revenue
3,7299149.55
4,5936859.84
2,5264688.64
7,4943304.17
5,3585836.1
6,2207804.4
1,1901378.09
14,1016638.56
10,961343
8,731280.96
9,637162.11
11,361437.67
12,201075.84
13,140220.21
21,95030.67
15,62758.95
28,43134.84
16,33119.68
17,27976.05
25,25569.5
22,19529.62
23,17336.25
18,11936.34
19,10138.02
35,9601.55
69,8831.31
60,7709.4
42,6112.26
30,5039.7
29,4529.51
34,3603.66
24,2855.76
45,2479.5
57,2470.38
56,2339.68
20,2013.8
48,1680
46,1610
43,1505
38,1339.88
27,945
49,636.51
0,0
