hotel,arrival_date_year,arrival_date_month,total_revenue_per_month,profit_percentage
"City Hotel",2018,August,260491.99,0.95
"City Hotel",2018,December,226500.98,0.83
"City Hotel",2018,July,40000.83,0.15
"City Hotel",2018,November,169021.47,0.62
"City Hotel",2018,October,409565.29,1.5
"City Hotel",2018,September,507582.34,1.86
"City Hotel",2019,April,587618.21,2.15
"City Hotel",2019,August,847891.78,3.1
"City Hotel",2019,December,442493.14,1.62
"City Hotel",2019,February,348557.52,1.28
"City Hotel",2019,January,189559.11,0.69
"City Hotel",2019,July,779247.73,2.85
"City Hotel",2019,June,598369.24,2.19
"City Hotel",2019,March,559600.93,2.05
"City Hotel",2019,May,631244.29,2.31
"City Hotel",2019,November,529645.84,1.94
"City Hotel",2019,October,699204.49,2.56
"City Hotel",2019,September,739558.73,2.71
"City Hotel",2020,April,780770.4,2.86
"City Hotel",2020,August,883883.66,3.23
"City Hotel",2020,February,468244.2,1.71
"City Hotel",2020,January,388858.28,1.42
"City Hotel",2020,July,866352.09,3.17
"City Hotel",2020,June,836871.25,3.06
"City Hotel",2020,March,597358.62,2.19
"City Hotel",2020,May,878438.66,3.22
"Resort Hotel",2018,August,907898.55,3.32
"Resort Hotel",2018,December,187524.2,0.69
"Resort Hotel",2018,July,719700.35,2.63
"Resort Hotel",2018,November,160664.48,0.59
"Resort Hotel",2018,October,290244.82,1.06
"Resort Hotel",2018,September,514739.02,1.88
"Resort Hotel",2019,April,337191.75,1.23
"Resort Hotel",2019,August,1292428.27,4.73
"Resort Hotel",2019,December,249260.57,0.91
"Resort Hotel",2019,February,189753.51,0.69
"Resort Hotel",2019,January,110724.94,0.41
"Resort Hotel",2019,July,1216032.42,4.45
"Resort Hotel",2019,June,562213.05,2.06
"Resort Hotel",2019,March,276592.66,1.01
"Resort Hotel",2019,May,410496.4,1.5
"Resort Hotel",2019,November,233845.27,0.86
"Resort Hotel",2019,October,382664.11,1.4
"Resort Hotel",2019,September,559797.72,2.05
"Resort Hotel",2020,April,430627.49,1.58
"Resort Hotel",2020,August,1142145.29,4.18
"Resort Hotel",2020,February,241580.45,0.88
"Resort Hotel",2020,January,177444.45,0.65
"Resort Hotel",2020,July,1015414.63,3.72
"Resort Hotel",2020,June,660436.06,2.42
"Resort Hotel",2020,March,294282.38,1.08
"Resort Hotel",2020,May,491948.59,1.8
